4.38	1.69
4.3805	1.69
4.381	1.69
4.3815	1.69
4.382	1.66
4.3825	1.69
4.383	1.69
4.3835	1.69
4.384	1.69
4.3845	1.69
4.385	1.71
4.3855	1.71
4.386	1.71
4.3865	1.71
4.387	1.71
4.3875	1.69
4.388	1.69
4.3885	1.69
4.389	1.69
4.3895	1.69
4.39	1.71
4.3905	1.71
4.391	1.69
4.3915	1.69
4.392	1.69
4.3925	1.69
4.393	1.69
4.3935	1.71
4.394	1.71
4.3945	1.69
4.395	1.69
4.3955	1.69
4.396	1.69
4.3965	1.69
4.397	1.69
4.3975	1.69
4.398	1.69
4.3985	1.69
4.399	1.69
4.3995	1.71
4.4	1.71
4.4005	1.69
4.401	1.71
4.4015	1.69
4.402	1.69
4.4025	1.71
4.403	1.69
4.4035	1.69
4.404	1.69
4.4045	1.69
4.405	1.69
4.4055	1.73
4.406	1.73
4.4065	1.71
4.407	1.71
4.4075	1.71
4.408	1.71
4.4085	1.71
4.409	1.69
4.4095	1.71
4.41	1.71
4.4105	1.69
4.411	1.71
4.4115	1.73
4.412	1.71
4.4125	1.69
4.413	1.71
4.4135	1.71
4.414	1.71
4.4145	1.71
4.415	1.71
4.4155	1.71
4.416	1.71
4.4165	1.71
4.417	1.71
4.4175	1.71
4.418	1.71
4.4185	1.73
4.419	1.71
4.4195	1.71
4.42	1.73
4.4205	1.73
4.421	1.73
4.4215	1.73
4.422	1.73
4.4225	1.73
4.423	1.73
4.4235	1.73
4.424	1.73
4.4245	1.73
4.425	1.73
4.4255	1.75
4.426	1.78
4.4265	1.78
4.427	1.78
4.4275	1.75
4.428	1.75
4.4285	1.75
4.429	1.75
4.4295	1.78
4.43	1.75
4.4305	1.78
4.431	1.75
4.4315	1.75
4.432	1.78
4.4325	1.78
4.433	1.75
4.4335	1.78
4.434	1.78
4.4345	1.78
4.435	1.78
4.4355	1.78
4.436	1.78
4.4365	1.78
4.437	1.78
4.4375	1.78
4.438	1.78
4.4385	1.78
4.439	1.80
4.4395	1.78
